id,loan_amnt,funded_amnt,funded_amnt_inv,term,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_int,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,annual_inc_joint,dti_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
1,5000,5000,4975,36,162.87,2,10,6,24000,3,22,6,2,4,27.65,0,1,0,0,3,0,13648,83.7,9,0,0,5861.071414,5831.78,861.07,0,0,171.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7200,7200,7200,36,224,1,10,2,47000,2,22,6,3,46,19.74,0,0,0,0,12,0,16106,83.5,32,0,0,8061.52571,8061.53,861.53,0,0,239.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20000,20000,19975,60,533.23,5,5,2,51750,3,22,2,3,32,18.97,0,0,0,0,18,0,19557,92.5,29,5761.56,5754.29,25562.28,25530.46,11323.83,0,0,533.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,32000,32000,32000,36,982.52,1,2,6,120000,3,22,6,12,7,6.07,0,0,0,0,13,0,1967,5.2,23,0,0,35368.03034,35368.03,3368.03,0,0,1001.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15000,15000,15000,36,501.23,2,0,6,60000,3,22,6,3,48,14.18,0,0,0,0,8,0,15451,72.5,19,0,0,18040.97902,18040.98,3040.98,0,0,513.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
